英文名,中文名,港服价格,中文,年份,评分
11-11 Memories Retold,11-11：复述回忆,149,,2018,78
2Dark,,44,,2017,63
ABZU,智慧之海,155,中,2016,80
Adr1ft,星际漫游,155,,2016,62
Age of Wonders: Planetfall,奇迹时代：星陨,392,中,2019,81
ALIENATION,异化,156,中,2016,79
AO Tennis 2,澳洲国际网球2,390,中,2020,69
Ashen,,313,中,2020,80
Assassin's Creed Valhalla,刺客信条：英灵殿,468,中,2020,83
Assetto Corsa Competizione,神力科莎：争锋,298,中,2020,74
AVICII Invector,艾维奇节奏战机,119,中,2020,82
Balan Wonderworld,巴兰的异想奇境 ,468,中,2021,48
Batman: Arkham Knight,蝙蝠侠：阿卡姆骑士,148,,2018,86
Battle Chasers: Nightwar,战神：夜战,238,中,2019,80
Bee Simulator,蜜蜂模拟器,300,中,2020,58
Blasphemous,神之亵渎,196,中,2019,80
Bloodborne,血源,148,中,2018,91
Bloodstained: Ritual of the Night,血污 夜之仪式,310,中,2019,83
Bomber Crew,轰炸机小队,99,,2020,78
BOUND: Shattered Kingdom,边界：王国碎片,155,中,2016,72
Bound by Flame,火焰限界,78,,2014,56
Brothers: A Tale of Two Sons,兄弟 双子传说,155,中,2015,77
Caladrius Blaze,女神骑士团爆裂,157,,2016,68
Call of Cthulhu,克苏鲁的呼唤,148,中,2018,67
Chocobo's Mystery Dungeon EVERY BUDDY!,陆行乌不可思议迷宫EVERY BUDDY！,308,中,2019,74
Chronos: Before the Ashes,克罗诺斯：灰烬之前,238,中,2020,68
Cities: Skylines,城市：天际线,313,中,2017,83
Concrete Genie: Digital Deluxe Edition,壁中精灵 数字豪华版,308,中,2019,77
Control: Ultimate Edition,控制：终极版 ,288,中,2020,85
Damascus Gear: Operation Tokyo HD Edition,大马士革齿轮东京始战高清版,103,,2017,61
Darksiders Genesis,暗黑血统 创世纪,308,中,2020,78
Darksiders III,暗黑血统3,468,中,2018,68
Days Gone,往日不再,308,中,2019,72
DEATH STRANDING: DIRECTOR'S CUT,死亡搁浅：导演剪辑版,398,中,2019,85
Death end re;Quest,死亡终局：轮回试炼,428,中,2019,69
Death end re;Quest2,死亡终局：轮回试炼2,438,中,2020,75
Deliver Us the Moon,飞向月球,139,中,2020,76
DEMON'S SOULS,恶魔之魂 重制版,568,中,2020,92
Desperados III,赏金奇兵3,468,中,2020,86
Destruction Allstars,毁灭全明星,148,中,2020,62
Detroit: Become Human,底特律：化身为人,148,中,2018,79
Dragon Star Vamnir,龙星的瓦尔尼尔,428,中,2019,74
Dreamfall Chapters,,194,中,2017,68
Dynasty Warriors 8 Empires,真·三国双7 帝国,388,中,2015,68
Eagle Flight,猎鹰翱翔VR,300,中,2016,73
Elex,,468,中,2019,61
Emb,灭火先锋,140,中,2021,67
Entwined,灵魂交织,80,,2014,67
Everybody's Golf,新·全民高尔夫,268,中,2017,78
Fade to Silence,归于沉寂,238,中,2017,57
Far Cry 3 Blood Dragon: Classic Edition,孤岛惊魂3 血龙 经典版,108,中,2021,
Far Cry 3: Classic Edition,孤岛惊魂3 经典版,210,中,2018,75
Far Cry 4,孤岛惊魂4,148,,2014,84
FIGHTING EX LAYER - Standard Version,格斗领域EX,299,中,2018,72
Final Fantasy IX,最终幻想9,123,,2017,81
Final Fantasy VII,最终幻想7,113,,2016,81
Final Fantasy VIII Remastered,最终幻想8 高清版,154,,2019,81
Final Fantasy X/X-2 HD Remaster,最终幻想10/10-2 高清版,198,中,2015,83
Final Fantasy XII The Zodiac Age,最终幻想12 黄道纪元,398,中,2017,85
Final Fantasy XV Royal Edition,最终幻想15 皇家版,390,中,2018,79
Flatout 4: Total Insanity,横冲直撞4：癫狂,500,中,2017,64
For Honor,荣耀战魂,420,中,2017,77
For the King,为了国王,139,中,2018,75
Foreclosed,,140,中,2021,59
Friday the 13th: The Game,十三号星期五,148,中,2017,61
Gabbuchi,,63,中,2019,
Get Even,,249,,2017,72
GHOST OF TSUSHIMA: DIRECTOR'S CUT,对马之魂：导演剪辑版 ,568,中,2020,87
Ghostrunner,幽灵行者,240,中,2020,81
GOD OF WAR,战神,148,中,2018,94
Golf With Your Friends,与朋友一起打高尔夫球,155,中,2020,69
Graveyard Keeper,守墓人,148,中,2018,65
Gravity Rush 2,重力眩晕2,398,中,2017,81
Greedfall,贪婪之秋,268,中,2019,74
GRIP,,306,中,2018,69
GUNVOLT CHRONICLES LUMINOUS AVENGER IX,银白钢铁伊克斯,129,中,2019,79
HARVEST MOON LIGHT OF HOPE SPECIAL EDITION,牧场物语 希望之光 特别版,314,,2017,
Hello Neighbor,你好邻居,238,中,2017,42
Hollow Knight: Voidheart Edition,空洞骑士：虚空之心版,118,中,2018,88
Homefront: The Revolution,国土防线 2：革命,248,,2016,48
Horizon Zero Dawn,地平线：零之曙光 完整版,148,中,2017,89
Hotline Miami 2: Wrong Number,迈阿密热线2,116,,2015,74
Hotshot Racing,大佬竞速,119,中,2020,75
How to Survive 2,生存指南2,116,,2016,66
How to Survive: Storm Warning Edition,生存指南,155,,2014,67
Hue,,117,中,2016,79
Human:Fall Flat,人类：一败涂地,99,中,2016,68
I am Dead,I am Dead,148,中,2020,81
inFAMOUS Second Son,,148,中,,
inFAMOUS First Light,恶名昭彰：破晓,110,中,2014,76
Injustice 2,不义联盟2,148,,2017,87
Journey to the Savage Planet,狂野星球之旅,240,中,2020,76
KILLZONE SHADOW FALL,杀戮地带：暗影坠落,148,中,2013,73
Killzone: Shadow Fall Intercept,杀戮地带：暗影坠落拦截者,74,中,2014,77
Kingdom Come: Deliverance,天国：拯救,224,,2018,72
Kingdom Two Crowns,王国：两位君主,148,中,2018,79
KNACK,纳克大冒险,198,中,2019,58
Kona,科纳,124,中,2017,71
Last Day of June,June的最后一天,156,中,2017,73
Last Stop,终点站,198,中,2021,70
Lawn Mowing Simulator,割草模拟器,139,中,2021,71
Left Alive ,生还者,468,中,2019,38
Legendary Fishing,传奇钓鱼,210,中,2022,
LEGO Batman 3: Beyond Gotham,乐高蝙蝠侠3,148,,2014,74
Little Nightmare,小小梦魇,209,中,2017,79
LittleBigPlanet 3,小小大星球3,148,中,2014,79
Mafia III: Definitive Edition,四海兄弟3：最终版,229,中,2020,63
Magicka 2,魔能2,116,中,2015,69
Maneater,食人鲨,308,中,2020,71
Marvel's Guardians of the Galaxy,漫威银河护卫队,479,中,2021,82
MARVELS SPIDER-MAN MILES MORALES,漫威蜘蛛侠 迈尔斯·莫拉莱斯,398,中,2020,85
Marvel's Spider-Man: Game of the Year Edition,漫威蜘蛛侠：年度版,308,中,2018,88
MATTERFALL,血精石陨落,148,中,2017,74
MediEvil,骷髅战士,235,,2019,68
Megadimension Neptunia VII,新次元海王星 VII,304,中,2016,68
Mighty No. 9,神力9号,238,中,2016,52
Monster Jam Steel Titans 2,怪物卡车钢铁巨人2,305,,2021,60
Monster Truck Championship ,怪兽卡车冠军赛,308,中,2020,68
Mortal Kombat 11,真人快打11,388,中,2019,83
Moving Out,胡闹搬家,193,中,2020,77
Mudrunner,旋转轮胎：泥泞奔驰,299,中,2017,73
MXGP 2021,,398,中,2021,69
My Friend Pedro,我的朋友佩德罗,148,中,2019,80
My Time at Portia,波西亚时光,235,中,2019,75
NARUTO SHIPPUDEN:Ultimate Ninja STORM 4,火影忍者疾风传终极风暴4,319,中,2016,79
NBA 2K Playgrounds 2,NBA 2K 欢乐竞技场2,248,中,2018,70
NBA 2K22,,548,中,2021,76
Necromunda: Underhive Wars,涅克罗蒙达:下巢战争,148,中,2020,57
Observation,观测号,15,中,2019,76
Observer: System Redux ,观察者：系统重复,238,中,2020,80
Oddworld: New 'n' Tasty,奇异世界 新鲜可口,233,,2014,81
Outer Wilds,星际拓荒,196,中,2019,86
Overcooked! 2,胡闹厨房2,196,中,2018,82
Overpass,立交桥,238,中,2020,54
Pathfinder: Kingmaker - Definitive Edition,开拓者：拥王者 决定版,308,中,2020,71
Payday 2: Crimewave Edition,收获日2 恶浪限定版,155,,2015,69
PGA Tour 2K21,PGA巡回赛 2K21,468,中,2020,75
Pillars of Eternity: Complete Edition,永恒之柱：完全版,391,,2017,86
Pixel Piracy,像素海盗,116,,2015,52
Portal Knights,传送门骑士,233,中,2017,72
Prison Architect,监狱建筑师,198,中,2015,80
Project CARS 2,赛车计划2,439,中,2017,82
Project CARS 3,赛车计划3,479,中,2020,70
Red Dead Redemption 2,荒野大镖客：救赎2,468,中,2018,96
Relicta,瑞利达,149,中,2020,75
RESOGUN,光电战机,55,,2013,85
RETURNAL,死亡回归,568,中,2021,86
RIDE 4 ,极速骑行4,398,中,2020,74
Risk Urban Assault,风险 都市突击,108,,2015,54
Saints Row: The Third Remastered,黑道圣徒3 完整版,310,中,2020,74
Secret Neighbor,秘密邻居,148,中,2019,
Shadow of the Colossus,汪达与巨像,198,中,2018,92
Shadow Warrior 3,影子武士3,398,中,2022,73
Shadow of the Beast,野兽之影,148,中,2016,66
Shiness: The Lightning Kingdom,亮晶晶：闪闪王国,79,,2017,68
Sniper Elite 4,狙击精英4,468,中,2017,78
SoulCalibur VI,灵魂能力6,479,中,2018,84
South Park: The Fractured but Whole,南方公园:完整破碎,420,,2017,82
South Park: The Stick of Truth,南方公园:真理之杖,210,,2014,85
Space Crew: Legendary Edition,星际小队,178,中,2019,74
Space Hulk: Deathwing - Enhanced Edition,太空弃舰 死亡之翼,238,中,2018,56
Space Hulk: Tactics,太空战舰:战术,108,中,2018,70
Space Junkies,星际斗阵VR,280,中,2019,69
Star Ocean First Departure R,星之海洋：初次启程,164,,2019,74
Star Trek: Bridge Crew,星际迷航：舰桥船员,175,,2017,75
Starlink: Battle for Atlas,星链：阿特拉斯之战,175,,2018,76
Steep,极限巅峰,140,中,2016,71
Stellaris: Console Edition,群星：主机版,313,,2019,80
Surviving Mars,火星生存,235,,2018,77
Tearaway Unfolded,撕纸小邮差：拆封,194,中,2015,83
Tennis World Tour 2,网球世界巡回赛2,398,中,2020,58
Terraria,泰拉瑞亚,155,,2011,79
The Crew,飙酷车神,149,,2014,62
The Crew 2,飙酷车神2,338,中,2018,66
The Dark Pictures Anthology: Little Hope,黑相集：稀望镇,219,中,2020,73
The Dark Pictures Anthology: Man of Medan,黑相集：棉兰号,219,中,2019,71
THE LAST GUARDIAN,最后的守护者,308,中,2016,81
The Messenger,信使,140,中,2018,86
The Surge,迸发,126,中,2017,73
The Surge 2,迸发2,238,中,2019,77
The Artful Escape ,奇妙逃亡,148,中,2021,80
The Book of Unwritten Tales 2,未传之书2,148,,2015,73
The Council - The Complete Season,议会完整版,108,,2018,75
The Elder Scrolls Online: Tamriel Unlimited,上古卷轴online,0,,2015,76
The Fisherman - Fishing Planet,《渔夫:垂钓行星》,308,中,2019,73
The LEGO Movie Videogame,乐高大电影:游戏版,465,,2014,70
The MISSING: J.J. Macfield and the Island of Memories,失踪：J.J. 麦克菲尔德和追忆岛,199,中,2018,77
The Technomancer,机械巫师,91,,2016,58
This is the Police,这是警察,148,中,2016,64
This is the Police 2,这是警察2,238,中,2018,69
This War of Mine: The Little Ones,这是我的战争：孩子们,194,,2016,79
Tom Clancy's The Division,全境封锁,148,中,2016,79
Totally Reliable Delivery Service,可靠快递,108,,2018,50
Tour de France 2021,环法自行车赛 2021,398,,2021,59
TowerFall Ascension,塔倒：升天,116,,2014,84
Transference,心灵诡宅,175,中,2018,71
Trials Fusion,特技摩托：聚变,158,,2014,79
Trials of the Blood Dragon,特技摩托:血龙,108,中,2016,54
Trials Rising,特技摩托:崛起,140,中,2019,80
TT Isle of Man: Ride on the Edge 2,曼岛TT:边缘竞速2,308,中,2020,71
Uncharted 4: A Thief's End,神秘海域4：盗贼末路,148,中,2016,93
Uncharted: The Lost Legacy,神秘海域：失落的遗产,148,中,2017,85
Until Dawn,直到黎明,148,中,2015,79
Valiant Hearts: The Great War,勇敢的心：世界大战,105,,2014,80
Vampyr,吸血鬼,308,中,2018,72
Virginia,弗吉尼亚,78,中,2015,73
"Warhammer 40,000: Inquisitor - Martyr",战锤40K:审判者-殉道者,399,中,2018,66
Warhammer: Chaosbane - Slayer Edition,战锤:混沌祸害 - 杀戮者版,468,中,2019,68
Watch Dogs,看门狗,148,中,2014,79
Werewolf: The Apocalypse - Earthblood,狼人之末日怒吼：地灵之血,398,中,2021,53
Werewolves Within,狼人游戏,198,,2016,77
Windbound,逆风停航,148,,2020,65
World of Final Fantasy,最终幻想世界,197,中,2016,78
WRC 10 FIA World Rally Championship,FIA世界汽车拉力锦标赛10,468,中,2021,76
Wreckfest,撞车嘉年华,308,中,2018,80
XCOM 2,幽浮2,465,中,2016,87
Y School Heroes: Bustlin’ School life,妖怪学院,313,中,2020,
YO-KAI WATCH 4++,妖怪手表4 ++,465,中,2019,
Ys VIII: Lacrimosa of DANA,伊苏8：丹娜的陨涕日,428,中,2017,84
ZOMBI,丧尸,148,,2015,67
Zombie Army 4: Dead War,僵尸部队4:死亡战争,388,中,2020,75